Districtwise IPC Crimes - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. No,,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other IPC Crimes,Total Cognizable IPC crimes,
,,,Murder (Sec.302 IPC),,,Abetment of Suicide (Sec.305/306 IPC),Attempt to Commit Murder (Sec.307 IPC),Attempt to Commit Suicide (Sec.309 IPC),,,,,,,Human Trafficking (U/S 370),Rape (Sec.376 IPC),,Extortion & Blackmailing (Sec.384 to 389 IPC),Robbery  (Sec.392/394/397 IPC),Offences against Property (Total),,,Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),Offences relating to Religion (Sec.295 to 297),Cheating by Impersonation (Sec.419 IPC),Offences related to Mischief (Sec.428 to 433),Cruelty by Husband or his Relatives (Sec.498-A IPC),Circulate False/Fake News/Rumours (Sec.505 IPC/Sec.505 r/w IT Act),Criminal Intimidation (Sec.506 r/w Other IPC Crimes),Insult to the Modesty of Women (Sec.509 IPC),,,
,             STATE / UT,,,Causing Death by Negligence (Sec.304-A IPC) (Col.6+Col 9 to 12),,,,,,"Assault on Women 
(Sec.354 IPC)",,Assault or use of Criminal Force on women with intent to Disrobe (Sec.354B IPC),cyber crime(Sec.354D IPC),"Kidnapping and Abduction (Total) (Col.46+ Col.49 to Col.55)
",,,"Theft (Total) (Col.92+Col.93)
",,,, Cheating (Sec.420 IPC), Forgery,,,,,,,,,,,
,,,,,Hit and Run,,,,Acid Attack (Sec.326A IPC),,Sexual Harassment (Sec.354A IPC+AJ4+AK5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,3,4,5,6,15,17,29,36,37,42,44,45,56,60,91,97,98,107,119,120,125,133,134,135,138,139,140,141,143,144,
1,Andhra pradesh,Alluri Sitharama Raju,29,144,17,4,12,0,0,16,3,1,0,5,0,34,46,0,1,86,23,2,13,1,0,1,58,0,10,7,196,998,
2,Andhra pradesh,Anakapalli,16,352,24,7,26,2,0,127,57,30,28,26,1,37,264,7,8,441,91,7,39,0,2,7,276,4,96,51,528,4565,
3,Andhra pradesh,Anantapuramu,51,310,35,33,83,6,0,89,37,6,41,31,2,12,405,11,7,593,179,0,371,12,1,2,343,2,89,50,435,5342,
4,Andhra pradesh,Annamayya,37,292,13,13,52,5,0,92,10,1,22,10,3,11,275,6,5,396,157,7,159,0,0,1,362,3,41,47,469,4287,
5,Andhra pradesh,Bapatla,42,255,6,16,35,3,0,127,36,1,20,15,0,22,391,5,5,583,210,1,3,0,0,1,447,0,138,129,919,5146,
6,Andhra pradesh,Chittoor,30,356,17,22,80,1,0,146,23,6,20,14,2,12,374,15,7,591,155,4,0,0,1,2,357,2,52,74,569,7280,
7,Andhra pradesh,Dr BR Ambedkar Konaseema,17,215,8,10,65,25,0,150,115,6,38,34,0,23,416,35,15,637,171,3,109,0,1,10,386,4,40,58,256,5391,
8,Andhra pradesh,East Godavari,25,336,32,20,61,56,0,35,82,20,71,46,1,27,699,55,31,1089,210,18,23,2,5,5,672,0,60,151,399,6790,
9,Andhra pradesh,Eluru,32,244,14,24,51,38,0,206,87,28,78,49,3,28,659,28,7,955,424,4,276,0,0,14,653,0,60,152,1466,9047,
10,Andhra pradesh,Guntakal Railway,1,0,0,3,0,0,0,0,0,0,0,0,0,0,581,1,5,587,5,0,0,0,1,0,1,0,0,2,10,630,
11,Andhra pradesh,Guntur,37,398,15,41,94,28,0,163,94,12,105,50,3,29,1117,47,31,1553,719,48,714,1,0,28,1054,3,511,510,174,9468,
12,Andhra pradesh,Kakinada,34,375,99,12,51,96,0,131,62,0,16,37,0,16,665,15,5,860,171,7,178,1,2,4,416,1,47,100,97,5326,
13,Andhra pradesh,Krishna,29,283,25,28,47,13,0,134,78,15,79,116,0,28,457,12,3,613,177,9,47,0,0,21,766,0,239,239,534,6638,
14,Andhra pradesh,Kurnool,41,323,0,12,85,2,0,79,45,10,41,48,0,9,308,16,13,574,454,0,13,4,0,3,347,0,93,186,450,4635,
15,Andhra pradesh,Nandyal,44,281,18,27,83,10,1,48,19,5,64,45,0,8,294,18,18,478,617,24,0,2,0,14,151,1,226,226,450,5380,
